threshold,alpha,k,cost_bp,mean_gross_pnl_bp,mean_net_pnl_bp,gross_sharpe,net_sharpe,mean_turnover,avg_abs_position,n_ticker_days
0.0002,0.1,500,0,0.520823805292664,0.520823805292664,0.2393166244994499,0.2393166244994499,0.043120621533456006,0.12387188759492135,12188
0.0002,0.2,200,0,0.43799636290132743,0.43799636290132743,0.238939132751473,0.238939132751473,0.0416590155088392,0.06515663651764937,12188
0.0015,1.0,200,0,0.7800116112471004,0.7800116112471004,0.23881871402242263,0.23881871402242263,0.11925383222609971,0.038354961782652845,12188
0.0,0.5,50,0,0.2537236919011113,0.2537236919011113,0.2380316834924916,0.2380316834924916,0.030704186473295106,0.021191903689343677,12188
0.0005,0.75,50,0,0.300783928798094,0.300783928798094,0.23750680037194732,0.23750680037194732,0.043595674954170195,0.020039454371828802,12188
0.0001,0.5,50,0,0.25252761639312743,0.25252761639312743,0.2369024569552195,0.2369024569552195,0.030685124813169158,0.02114710350220339,12188
0.0015,0.75,500,0,0.9399961567969197,0.9399961567969197,0.23573167487491456,0.23573167487491456,0.1502411075140133,0.06394489528637842,12188
0.0,0.3,100,0,0.33126524245889444,0.33126524245889444,0.2344197072437482,0.2344197072437482,0.03410810142516609,0.03706496175098558,12188
0.0001,0.3,100,0,0.32988971264847294,0.32988971264847294,0.2334177263432411,0.2334177263432411,0.034096312649243225,0.03699430652743332,12188
0.0002,0.5,50,0,0.2486486514493941,0.2486486514493941,0.23330986371402285,0.23330986371402285,0.0303577991090799,0.020824907466079692,12188
0.0005,0.3,200,0,0.4928904026382926,0.4928904026382926,0.23180363496057246,0.23180363496057246,0.05796351199836925,0.062383872037812683,12188
0.001,0.75,200,0,0.673248740440524,0.673248740440524,0.2300365333503011,0.2300365333503011,0.11761300976730825,0.051394444966160475,12188
0.0,0.3,50,0,0.19492292703702102,0.19492292703702102,0.22973420819962406,0.22973420819962406,0.017479767951390644,0.019018881930562236,12188
0.0002,0.3,100,0,0.3235894536991343,0.3235894536991343,0.229039265696604,0.229039265696604,0.03374970771063552,0.036689913030031926,12188
0.0001,0.3,50,0,0.19423514634614528,0.19423514634614528,0.22889886700348527,0.22889886700348527,0.017473950856545233,0.018983582819787036,12188
0.0,0.2,100,0,0.27624794374801376,0.27624794374801376,0.22850976208298457,0.22850976208298457,0.022277284276625564,0.03500898020096435,12188
0.0005,0.5,100,0,0.39486556835074255,0.39486556835074255,0.22772945920823953,0.22772945920823953,0.05322498272753286,0.03591958120848298,12188
0.0001,0.2,100,0,0.2753164371555762,0.2753164371555762,0.22770267721915857,0.22770267721915857,0.02227576459810634,0.034940122938561066,12188
0.001,1.0,100,0,0.5152482668895095,0.5152482668895095,0.22651117345955518,0.22651117345955518,0.08986555614052588,0.029378280418215566,12188
0.0,0.2,50,0,0.1617750423278641,0.1617750423278641,0.22574883819592548,0.22574883819592548,0.011415002873822007,0.017971966775264026,12188
